AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.679287850856781,,0.09580838680267334,0,10,,2.2836713790893555
0.5059952139854431,,0.09909909963607788,,0,10,2.3218908309936523,
,0.6974576711654663,,0.10179640352725983,1,21,,2.3324661254882812
0.613972008228302,,0.17417417466640472,,1,21,2.2301185131073,
,0.7902549505233765,,0.269461065530777,2,32,,2.058457136154175
0.6726222634315491,,0.2012012004852295,,2,32,2.1239664554595947,
,0.8358917236328125,,0.329341322183609,3,43,,1.800082802772522
0.7147520184516907,,0.33033034205436707,,3,43,1.9089999198913574,
,0.8613006472587585,,0.34730538725852966,4,54,,1.723409652709961
0.8132451772689819,,0.3933933973312378,,4,54,1.7315349578857422,
,0.8960660696029663,,0.39520958065986633,5,65,,1.4852161407470703
0.8459349870681763,,0.4714714586734772,,5,65,1.5114339590072632,
,0.9023292064666748,,0.514970064163208,6,76,,1.3476072549819946
0.8878388404846191,,0.5525525808334351,,6,76,1.2429996728897095,
,0.8899392485618591,,0.4790419042110443,7,87,,1.437680721282959
0.8720357418060303,,0.5525525808334351,,7,87,1.2913633584976196,
,0.896720826625824,,0.473053902387619,8,98,,1.3897899389266968
0.8750577569007874,,0.5525525808334351,,8,98,1.2460136413574219,
,0.9058345556259155,,0.473053902387619,9,109,,1.37245512008667
0.8768607378005981,,0.5735735893249512,,9,109,1.103926420211792,
,0.9074461460113525,,0.5628742575645447,10,120,,1.291248083114624
0.8775730729103088,,0.597597599029541,,10,120,1.0762503147125244,
,0.907608687877655,,0.5029940009117126,11,131,,1.2888741493225098
0.8808619379997253,,0.6096096038818359,,11,131,1.088552474975586,
,0.9026818871498108,,0.538922131061554,12,142,,1.3708415031433105
0.8914152383804321,,0.6666666865348816,,12,142,0.9372294545173645,
,0.8928655982017517,,0.5508981943130493,13,153,,1.4466631412506104
0.9138503670692444,,0.684684693813324,,13,153,0.9054940938949585,
,0.909929633140564,,0.5029940009117126,14,164,,1.4259072542190552
0.8976455330848694,,0.7267267107963562,,14,164,0.7492852210998535,
,0.9089154601097107,,0.5808383226394653,15,175,,1.3897305727005005
0.9368665814399719,,0.6936936974525452,,15,175,0.8036357760429382,
,0.9268733859062195,,0.5628742575645447,16,186,,1.2337580919265747
0.9286221265792847,,0.6996996998786926,,16,186,0.7576136589050293,
,0.920217752456665,,0.5808383226394653,17,197,,1.1804333925247192
0.9011533856391907,,0.7267267107963562,,17,197,0.7391990423202515,
,0.9166826009750366,,0.5568862557411194,18,208,,1.341782569885254
0.9284583926200867,,0.7147147059440613,,18,208,0.7337179780006409,
,0.9050138592720032,,0.57485032081604,19,219,,1.373757004737854
0.9131036400794983,,0.6966966986656189,,19,219,0.7839692831039429,
,0.9055343270301819,,0.5329341292381287,20,230,,1.3761414289474487
0.898032546043396,,0.7027027010917664,,20,230,0.9174249172210693,
,0.9211786985397339,,0.57485032081604,21,241,,1.1919562816619873
0.8993673324584961,,0.7087087035179138,,21,241,0.7997634410858154,
,0.9004062414169312,,0.538922131061554,22,252,,1.5658926963806152
0.9209803938865662,,0.7717717885971069,,22,252,0.7623316049575806,
,0.9143678545951843,,0.5568862557411194,23,263,,1.3517485857009888
0.9094849824905396,,0.717717707157135,,23,263,0.8128781914710999,
,0.9132106304168701,,0.5628742575645447,24,274,,1.2639939785003662
0.8921793103218079,,0.7087087035179138,,24,274,0.7280237078666687,
,0.9112533330917358,,0.5808383226394653,25,285,,1.3647854328155518
0.900668740272522,,0.7747747898101807,,25,285,0.6470949649810791,
,0.8957940936088562,,0.5568862557411194,26,296,,1.59348726272583
0.9373827576637268,,0.7627627849578857,,26,296,0.6393978595733643,
,0.9182888269424438,,0.6107784509658813,27,307,,1.3939696550369263
0.9533959627151489,,0.792792797088623,,27,307,0.5973002314567566,
,0.9155464172363281,,0.5808383226394653,28,318,,1.437624216079712
0.9524980783462524,,0.792792797088623,,28,318,0.5813859701156616,
,0.9043128490447998,,0.6167664527893066,29,329,,1.564754843711853
0.9300882816314697,,0.7987987995147705,,29,329,0.5720243453979492,
,0.8968385457992554,,0.514970064163208,30,340,,1.711727499961853
0.9398099780082703,,0.7987987995147705,,30,340,0.5799461007118225,
,0.909736156463623,,0.56886225938797,31,351,,1.505997896194458
0.9495280385017395,,0.7567567825317383,,31,351,0.5916571021080017,
,0.9021450281143188,,0.5868263244628906,32,362,,1.636440634727478
0.9530194401741028,,0.7957957983016968,,32,362,0.5182516574859619,
,0.9021450281143188,,0.5868263244628906,33,363,,1.636440634727478
