AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.8623455166816711,,0.46107783913612366,0,10,,1.788690447807312
0.7186864614486694,,0.21021020412445068,,0,10,2.234837293624878,
,0.9318578839302063,,0.6107784509658813,1,21,,1.1787083148956299
0.9131305813789368,,0.5555555820465088,,1,21,1.3245543241500854,
,0.9555746912956238,,0.682634711265564,2,32,,0.935685932636261
0.9434226155281067,,0.7057057023048401,,2,32,0.8347640037536621,
,0.9642035365104675,,0.71856290102005,3,43,,0.896600604057312
0.9499242305755615,,0.8108108043670654,,3,43,0.5312960743904114,
,0.9743600487709045,,0.7544910311698914,4,54,,0.715233325958252
0.953621506690979,,0.8738738894462585,,4,54,0.3678954839706421,
,0.9701210856437683,,0.7245509028434753,5,65,,0.8655095100402832
0.9678181409835815,,0.9309309124946594,,5,65,0.22884142398834229,
,0.979856550693512,,0.7604790329933167,6,76,,0.6843253374099731
0.9574114084243774,,0.9579579830169678,,6,76,0.1404045969247818,
,0.9730219841003418,,0.7544910311698914,7,87,,0.8608372211456299
0.976608395576477,,0.9459459185600281,,7,87,0.13747091591358185,
,0.9675243496894836,,0.7245509028434753,8,98,,0.9252621531486511
0.9668712019920349,,0.9699699878692627,,8,98,0.08992939442396164,
,0.9737127423286438,,0.796407163143158,9,109,,0.8365356922149658
0.9537537097930908,,0.9909909963607788,,9,109,0.0345957949757576,
,0.9781487584114075,,0.7485029697418213,10,120,,0.9569787383079529
0.9882882833480835,,1.0,,10,120,0.020335698500275612,
,0.9810708165168762,,0.7485029697418213,11,131,,0.8579358458518982
0.9729728698730469,,1.0,,11,131,0.008963997475802898,
,0.976116955280304,,0.7844311594963074,12,142,,0.9559571146965027
0.9825825095176697,,0.9969969987869263,,12,142,0.005537750199437141,
,0.9788148403167725,,0.802395224571228,13,153,,0.8128353357315063
0.9651651382446289,,0.9729729890823364,,13,153,0.1098334938287735,
,0.9531687498092651,,0.7065868377685547,14,164,,1.201986312866211
0.9917056560516357,,0.9069069027900696,,14,164,0.30367034673690796,
,0.961560070514679,,0.7245509028434753,15,175,,1.1419557332992554
0.9621655344963074,,0.912912905216217,,15,175,0.254249632358551,
,0.9754598736763,,0.7904191613197327,16,186,,0.7826678156852722
0.9663302898406982,,0.966966986656189,,16,186,0.09714676439762115,
,0.9751337766647339,,0.796407163143158,17,197,,0.8652957677841187
0.924924910068512,,0.9819819927215576,,17,197,0.05448821187019348,
,0.9790484309196472,,0.7604790329933167,18,208,,0.9946818947792053
0.9537537693977356,,0.9789789915084839,,18,208,0.05565740540623665,
,0.9783729314804077,,0.8083832263946533,19,219,,0.8306373953819275
0.9864864945411682,,0.9849849939346313,,19,219,0.054773397743701935,
,0.9831799864768982,,0.8143712282180786,20,230,,0.7333899140357971
0.9362257719039917,,0.9909909963607788,,20,230,0.03561506047844887,
,0.976476788520813,,0.7784430980682373,21,241,,0.9773125648498535
0.9651651382446289,,1.0,,21,241,0.00939773116260767,
,0.976476788520813,,0.7784430980682373,22,242,,0.9773125648498535
