MAE_train,MAE_val,R2_train,R2_val,epoch,step,train_loss,val_loss
,2.6316630840301514,,-0.3158712387084961,0,7,,11.41898250579834
3.335033893585205,,-1.314947247505188,,0,7,17.72966957092285,
,2.614018201828003,,-0.28301846981048584,1,15,,11.133890151977539
2.515045404434204,,-0.24964946508407593,,1,15,9.753878593444824,
,2.0750606060028076,,0.21516090631484985,2,23,,6.8107452392578125
2.1738197803497314,,0.058710698038339615,,2,23,7.434366703033447,
,1.9199601411819458,,0.3391456604003906,3,31,,5.7348198890686035
1.847658634185791,,0.2862299382686615,,3,31,5.59431791305542,
,1.760176181793213,,0.4247831702232361,4,39,,4.9916672706604
1.6489593982696533,,0.3956039547920227,,4,39,4.632383823394775,
,1.5964381694793701,,0.5276060104370117,5,47,,4.099382400512695
1.4696135520935059,,0.5300840735435486,,5,47,3.710259199142456,
,1.5425807237625122,,0.562157154083252,6,55,,3.799550771713257
1.2946033477783203,,0.6259682178497314,,6,55,2.9506962299346924,
,1.5023980140686035,,0.5814673900604248,7,63,,3.63197922706604
1.17812979221344,,0.6732818484306335,,7,63,2.546586036682129,
,1.4935085773468018,,0.5778851509094238,8,71,,3.66306471824646
1.2375586032867432,,0.6656287312507629,,8,71,2.6259729862213135,
,1.4178435802459717,,0.6057536602020264,9,79,,3.421225070953369
1.0458813905715942,,0.7597916722297668,,9,79,1.927110195159912,
,1.4980601072311401,,0.5777146816253662,10,87,,3.664543867111206
0.9811239838600159,,0.7801957726478577,,10,87,1.704474925994873,
,1.5273150205612183,,0.5494725704193115,11,95,,3.9096264839172363
0.979212760925293,,0.7699640989303589,,11,95,1.701432228088379,
,1.4426348209381104,,0.5993572473526001,12,103,,3.4767324924468994
0.9235334396362305,,0.8091372847557068,,12,103,1.5057315826416016,
,1.2715160846710205,,0.63994300365448,13,111,,3.1245338916778564
0.9111220836639404,,0.8089488744735718,,13,111,1.4835072755813599,
,1.3199390172958374,,0.6319677829742432,14,119,,3.193742513656616
0.8395057916641235,,0.8287172913551331,,14,119,1.3039722442626953,
,1.3813327550888062,,0.6106830835342407,15,127,,3.378448247909546
0.7811141610145569,,0.8543755412101746,,15,127,1.1292921304702759,
,1.3614020347595215,,0.6046773195266724,16,135,,3.4305660724639893
0.6699975728988647,,0.8916779160499573,,16,135,0.846741795539856,
,1.3133541345596313,,0.6089526414871216,17,143,,3.393465280532837
0.759033203125,,0.8536103367805481,,17,143,1.0627293586730957,
,1.3154993057250977,,0.6189343929290771,18,151,,3.3068439960479736
0.815962016582489,,0.8453666567802429,,18,151,1.2058833837509155,
,1.3731284141540527,,0.6056865453720093,19,159,,3.4218077659606934
0.7942913770675659,,0.8462523818016052,,19,159,1.1484185457229614,
,1.4080162048339844,,0.5516470074653625,20,167,,3.890756845474243
0.8042178750038147,,0.8354580402374268,,20,167,1.3025693893432617,
,1.478886604309082,,0.5375549793243408,21,175,,4.013045787811279
0.7760399580001831,,0.8616577982902527,,21,175,1.1021301746368408,
,1.3494468927383423,,0.6218626499176025,22,183,,3.281433343887329
0.8318063616752625,,0.8396492004394531,,22,183,1.2422473430633545,
,1.273416519165039,,0.636210560798645,23,191,,3.156923770904541
0.7307915091514587,,0.871657133102417,,23,191,0.9900961518287659,
,1.2799838781356812,,0.6261111497879028,24,199,,3.244565010070801
0.5561095476150513,,0.9274075627326965,,24,199,0.5686870217323303,
,1.2638628482818604,,0.6073828339576721,25,207,,3.407087564468384
0.5525925755500793,,0.925616979598999,,25,207,0.5901483297348022,
,1.2219220399856567,,0.64183509349823,26,215,,3.108114719390869
0.5637264847755432,,0.9225964546203613,,26,215,0.5959561467170715,
,1.219660997390747,,0.6354501247406006,27,223,,3.163522720336914
0.5361444354057312,,0.9331983923912048,,27,223,0.524314820766449,
,1.208661675453186,,0.6426260471343994,28,231,,3.1012513637542725
0.5010892748832703,,0.937799334526062,,28,231,0.4759346544742584,
,1.3092554807662964,,0.6097476482391357,29,239,,3.386566162109375
0.4868335723876953,,0.9404253959655762,,29,239,0.45813146233558655,
,1.2830792665481567,,0.6090233325958252,30,247,,3.3928513526916504
0.5316870212554932,,0.9297091364860535,,30,247,0.5452180504798889,
,1.2632421255111694,,0.6252025365829468,31,255,,3.252450466156006
0.5546520352363586,,0.9196979403495789,,31,255,0.6279234886169434,
,1.2920480966567993,,0.6055948734283447,32,263,,3.4226033687591553
0.5338508486747742,,0.9313433766365051,,32,263,0.5404068231582642,
,1.260764718055725,,0.6255527138710022,33,271,,3.2494113445281982
0.5259954929351807,,0.929115355014801,,33,271,0.5331050157546997,
,1.304307460784912,,0.604289710521698,34,279,,3.433929443359375
0.47297194600105286,,0.941942572593689,,34,279,0.450590044260025,
,1.2729305028915405,,0.6207234859466553,35,287,,3.2913191318511963
0.6146628260612488,,0.908585786819458,,35,287,0.719931960105896,
,1.259692907333374,,0.6190304160118103,36,295,,3.3060109615325928
0.5696953535079956,,0.920789897441864,,36,295,0.6259108781814575,
,1.3242636919021606,,0.5964703559875488,37,303,,3.501784563064575
0.6013318300247192,,0.9073712229728699,,37,303,0.6932595372200012,
,1.334115743637085,,0.5999215245246887,38,311,,3.4718358516693115
0.5706490874290466,,0.9174283146858215,,38,311,0.6394020915031433,
,1.3069407939910889,,0.6084244251251221,39,319,,3.3980488777160645
0.5480400919914246,,0.9170990586280823,,39,319,0.6161391735076904,
,1.240476369857788,,0.633346438407898,40,327,,3.1817784309387207
0.5227945446968079,,0.9315582513809204,,40,327,0.5325308442115784,
,1.2937945127487183,,0.6276253461837769,41,335,,3.2314252853393555
0.48318663239479065,,0.9397569894790649,,41,335,0.4768475294113159,
,1.2043765783309937,,0.6599886417388916,42,343,,2.950580358505249
0.5136414170265198,,0.9348713159561157,,42,343,0.5162394046783447,
,1.2189761400222778,,0.6497182846069336,43,351,,3.039705514907837
0.528761625289917,,0.9288435578346252,,43,351,0.5629648566246033,
,1.3052897453308105,,0.6078988909721375,44,359,,3.402609348297119
0.5487188696861267,,0.9222525358200073,,44,359,0.5919265151023865,
,1.3261566162109375,,0.5978866219520569,45,367,,3.489494562149048
0.5783471465110779,,0.9085162281990051,,45,367,0.7070029377937317,
,1.2506911754608154,,0.6335387229919434,46,375,,3.1801095008850098
0.5385771989822388,,0.9285101294517517,,46,375,0.5712345838546753,
,1.2543963193893433,,0.6341570615768433,47,383,,3.174743413925171
0.45394861698150635,,0.9472062587738037,,47,383,0.3982070982456207,
,1.2033107280731201,,0.6592545509338379,48,391,,2.9569506645202637
0.47973254323005676,,0.9393633008003235,,48,391,0.471247136592865,
,1.2559219598770142,,0.6319648027420044,49,399,,3.1937673091888428
0.437569260597229,,0.9503270387649536,,49,399,0.3768925666809082,
,1.2749605178833008,,0.630206823348999,50,407,,3.209023952484131
0.4313237965106964,,0.9525493383407593,,50,407,0.37902936339378357,
,1.2164548635482788,,0.6496078968048096,51,415,,3.040663480758667
0.46307897567749023,,0.9414458274841309,,51,415,0.4526684880256653,
,1.233731985092163,,0.6489773988723755,52,423,,3.0461349487304688
0.44151681661605835,,0.9523957967758179,,52,423,0.37233999371528625,
,1.2069681882858276,,0.6630634665489197,53,431,,2.9238972663879395
0.47762531042099,,0.9360078573226929,,53,431,0.47963055968284607,
,1.253890037536621,,0.6472676992416382,54,439,,3.06097149848938
0.523888885974884,,0.9342331290245056,,54,439,0.5215682983398438,
,1.2739684581756592,,0.6305639147758484,55,447,,3.2059247493743896
0.4468884766101837,,0.9470971822738647,,55,447,0.4120982587337494,
,1.2554326057434082,,0.6328953504562378,56,455,,3.18569278717041
0.5108852386474609,,0.924481213092804,,56,455,0.5712305307388306,
,1.1926230192184448,,0.6615887880325317,57,463,,2.936694622039795
0.50465327501297,,0.932183027267456,,57,463,0.5030112862586975,
,1.2222301959991455,,0.6545971035957336,58,471,,2.9973676204681396
0.4382931590080261,,0.9494860768318176,,58,471,0.3868589997291565,
,1.2625229358673096,,0.6307044625282288,59,479,,3.204705238342285
0.4228586256504059,,0.9562462568283081,,59,479,0.34693968296051025,
,1.278342604637146,,0.6182575225830078,60,487,,3.312718391418457
0.43767786026000977,,0.9503471255302429,,60,487,0.39152035117149353,
,1.2904083728790283,,0.609772264957428,61,495,,3.386352300643921
0.48008841276168823,,0.9418715238571167,,61,495,0.45769765973091125,
,1.2556990385055542,,0.6354334354400635,62,503,,3.163667917251587
0.4548901319503784,,0.9441355466842651,,62,503,0.44815582036972046,
,1.2216328382492065,,0.6484541296958923,63,511,,3.050675630569458
0.45202910900115967,,0.9458648562431335,,63,511,0.41683629155158997,
,1.1710319519042969,,0.6632969379425049,64,519,,2.9218709468841553
0.45547372102737427,,0.9471457600593567,,64,519,0.41735756397247314,
,1.2588096857070923,,0.6336441040039062,65,527,,3.1791954040527344
