AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.78416508436203,,0.10778442770242691,0,10,,2.168492555618286
0.6562864780426025,,0.171171173453331,,0,10,2.2134039402008057,
,0.8538895845413208,,0.413173645734787,1,21,,1.7796483039855957
0.7876157164573669,,0.30930930376052856,,1,21,1.9180710315704346,
,0.8934387564659119,,0.5508981943130493,2,32,,1.393282175064087
0.8820503950119019,,0.5315315127372742,,2,32,1.4095635414123535,
,0.8747856616973877,,0.5508981943130493,3,43,,1.7172895669937134
0.8901527523994446,,0.5915915966033936,,3,43,1.1387989521026611,
,0.9342767596244812,,0.6047903895378113,4,54,,1.1619622707366943
0.9287897348403931,,0.6876876950263977,,4,54,0.9551882147789001,
,0.9416444301605225,,0.6706587076187134,5,65,,1.0583796501159668
0.9338249564170837,,0.7477477192878723,,5,65,0.7163128852844238,
,0.9355952739715576,,0.658682644367218,6,76,,1.3122559785842896
0.9462067484855652,,0.8348348140716553,,6,76,0.5561918020248413,
,0.923742949962616,,0.598802387714386,7,87,,1.4608824253082275
0.9692496657371521,,0.804804801940918,,7,87,0.5850418210029602,
,0.9397605061531067,,0.7305389046669006,8,98,,1.0967882871627808
0.9460775256156921,,0.8498498201370239,,8,98,0.48719456791877747,
,0.945147693157196,,0.71856290102005,9,109,,1.1991950273513794
0.9624696373939514,,0.8888888955116272,,9,109,0.3682262599468231,
,0.9363547563552856,,0.7005987763404846,10,120,,1.4720269441604614
0.9778261184692383,,0.8948948979377747,,10,120,0.3385414481163025,
,0.9412530064582825,,0.7065868377685547,11,131,,1.377732753753662
0.958041250705719,,0.9339339137077332,,11,131,0.1817692667245865,
,0.918644368648529,,0.7065868377685547,12,142,,1.8933334350585938
0.9581641554832458,,0.9399399161338806,,12,142,0.1695619523525238,
,0.9487139582633972,,0.7305389046669006,13,153,,1.3229435682296753
0.9614072442054749,,0.9369369149208069,,13,153,0.22400332987308502,
,0.954649806022644,,0.7365269660949707,14,164,,1.3126109838485718
0.9532030820846558,,0.9309309124946594,,14,164,0.21950432658195496,
,0.9482665657997131,,0.7485029697418213,15,175,,1.2806644439697266
0.9315612316131592,,0.9639639854431152,,15,175,0.13891452550888062,
,0.9506789445877075,,0.7305389046669006,16,186,,1.5606491565704346
0.9918129444122314,,0.9759759902954102,,16,186,0.09999313950538635,
,0.9405778050422668,,0.7065868377685547,17,197,,1.7482290267944336
0.9729729890823364,,0.9759759902954102,,17,197,0.07125278562307358,
,0.9470043778419495,,0.71856290102005,18,208,,1.793885588645935
0.9575865268707275,,0.9879879951477051,,18,208,0.03823070228099823,
,0.937427818775177,,0.7245509028434753,19,219,,2.0586659908294678
0.9840031266212463,,0.9789789915084839,,19,219,0.06267274171113968,
,0.945391058921814,,0.7065868377685547,20,230,,1.9076333045959473
0.9156892895698547,,0.9789789915084839,,20,230,0.09472662210464478,
,0.945391058921814,,0.7065868377685547,21,231,,1.9076333045959473
