MAE_train,MAE_val,R2_train,R2_val,epoch,step,train_loss,val_loss
,2.4532477855682373,,-0.1488581895828247,0,7,,9.492334365844727
3.3079335689544678,,-1.0552674531936646,,0,7,16.089031219482422,
,1.8719195127487183,,0.33103448152542114,1,15,,5.527265548706055
2.286161422729492,,0.041205089539289474,,1,15,7.401029586791992,
,1.6016184091567993,,0.452650249004364,2,23,,4.522426605224609
1.882736086845398,,0.3201161026954651,,2,23,5.436825752258301,
,1.6826229095458984,,0.43182826042175293,3,31,,4.6944661140441895
1.6484755277633667,,0.4375164806842804,,3,31,4.475916385650635,
,1.5336308479309082,,0.5164927244186401,4,39,,3.994933605194092
1.6176822185516357,,0.4867894649505615,,4,39,4.050959587097168,
,1.508756399154663,,0.5311511158943176,5,47,,3.8738203048706055
1.3854551315307617,,0.5676121711730957,,5,47,3.4437642097473145,
,1.6702094078063965,,0.4106360673904419,6,55,,4.869565010070801
1.2412216663360596,,0.6797023415565491,,6,55,2.570295810699463,
,1.3300713300704956,,0.5967998504638672,7,63,,3.3314034938812256
1.1828279495239258,,0.6851481199264526,,7,63,2.4674410820007324,
,1.2911916971206665,,0.6092755198478699,8,71,,3.2283248901367188
0.9749109745025635,,0.7722200155258179,,8,71,1.7919687032699585,
,1.2616329193115234,,0.6359723806381226,9,79,,3.007744073867798
0.8632166385650635,,0.8231101632118225,,9,79,1.4225478172302246,
,1.444566249847412,,0.5470854043960571,10,87,,3.7421646118164062
0.7785835266113281,,0.8644844889640808,,10,87,1.0522239208221436,
,1.4104886054992676,,0.5611758232116699,11,95,,3.6257433891296387
0.7929290533065796,,0.8533797860145569,,11,95,1.1390050649642944,
,1.4081591367721558,,0.5508922934532166,12,103,,3.7107112407684326
0.8070244193077087,,0.8496003746986389,,12,103,1.1778007745742798,
,1.3164055347442627,,0.581605851650238,13,111,,3.4569430351257324
0.7624855041503906,,0.8668636679649353,,13,111,1.0607898235321045,
,1.2944364547729492,,0.603374183177948,14,119,,3.2770838737487793
0.7612026333808899,,0.8620270490646362,,14,119,1.1140899658203125,
,1.208326816558838,,0.6377241611480713,15,127,,2.9932706356048584
0.625190794467926,,0.9030975103378296,,15,127,0.7798368334770203,
,1.2185046672821045,,0.6180660724639893,16,135,,3.155693531036377
0.6051761507987976,,0.9077632427215576,,16,135,0.7262930274009705,
,1.2509578466415405,,0.5989990234375,17,143,,3.3132336139678955
0.6233723759651184,,0.9131751656532288,,17,143,0.7076805830001831,
,1.2192957401275635,,0.6372872591018677,18,151,,2.996880531311035
0.5966244339942932,,0.9142475128173828,,18,151,0.6943243145942688,
,1.3130669593811035,,0.5923683643341064,19,159,,3.368018388748169
0.6050075888633728,,0.9124367833137512,,19,159,0.6961715817451477,
,1.3476978540420532,,0.5805134773254395,20,167,,3.4659688472747803
0.5738809704780579,,0.9132885932922363,,20,167,0.6712731719017029,
,1.5542172193527222,,0.48169535398483276,21,175,,4.282444000244141
0.6300885677337646,,0.9018586874008179,,21,175,0.7758417725563049,
