MAE_train,MAE_val,R2_train,R2_val,epoch,step,train_loss,val_loss
,156.8141632080078,,-3610.060302734375,0,0,,27424.94921875
200.33152770996094,,-7776.7802734375,,0,0,65179.24609375,
,70.41448974609375,,-736.3582153320312,1,1,,5600.0205078125
171.24734497070312,,-5294.1787109375,,1,1,44374.5859375,
,11.928471565246582,,-30.6096248626709,2,2,,240.0658721923828
123.47380828857422,,-3024.7919921875,,2,2,25356.703125,
,26.074617385864258,,-108.2333984375,3,3,,829.5957641601562
83.83397674560547,,-1450.237060546875,,3,3,12161.63671875,
,24.972122192382812,,-95.16488647460938,4,4,,730.34423828125
69.56916809082031,,-997.5737915039062,,4,4,8368.2353515625,
,24.972122192382812,,-95.16488647460938,5,5,,730.34423828125
