AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.8105511665344238,,0.13173653185367584,0,10,,2.230289936065674
0.6248201727867126,,0.12912912666797638,,0,10,2.2611467838287354,
,0.8615118861198425,,0.299401193857193,1,21,,2.031545639038086
0.7204522490501404,,0.21621622145175934,,1,21,2.0836219787597656,
,0.8895297646522522,,0.455089807510376,2,32,,1.685390830039978
0.8612626791000366,,0.38138139247894287,,2,32,1.7368494272232056,
,0.9260395765304565,,0.5089820623397827,3,43,,1.3045754432678223
0.8673067092895508,,0.5255255103111267,,3,43,1.325606346130371,
,0.9388476014137268,,0.5568862557411194,4,54,,1.1183995008468628
0.9343755841255188,,0.6396396160125732,,4,54,0.9363665580749512,
,0.9321734309196472,,0.5568862557411194,5,65,,1.2840765714645386
0.9229614734649658,,0.6696696877479553,,5,65,0.9133064150810242,
,0.9362419247627258,,0.6107784509658813,6,76,,1.2623801231384277
0.9448660016059875,,0.7567567825317383,,6,76,0.6515297889709473,
,0.9426305890083313,,0.6706587076187134,7,87,,1.3798092603683472
0.9270631074905396,,0.8438438177108765,,7,87,0.49392127990722656,
,0.9302537441253662,,0.6646706461906433,8,98,,1.3728128671646118
0.9594650268554688,,0.8198198080062866,,8,98,0.4794965982437134,
,0.9511553645133972,,0.688622772693634,9,109,,1.2966256141662598
0.9421294927597046,,0.8648648858070374,,9,109,0.36198148131370544,
,0.9447349309921265,,0.71856290102005,10,120,,1.2516207695007324
0.9509148001670837,,0.9339339137077332,,10,120,0.22435951232910156,
,0.9588533639907837,,0.742514967918396,11,131,,1.1736396551132202
0.9395588040351868,,0.9489489197731018,,11,131,0.1642063409090042,
,0.9566775560379028,,0.71257483959198,12,142,,1.2532484531402588
0.9935765266418457,,0.9459459185600281,,12,142,0.17944805324077606,
,0.9605323672294617,,0.71257483959198,13,153,,1.1596591472625732
0.9506452083587646,,0.9579579830169678,,13,153,0.14586034417152405,
,0.9568212628364563,,0.7604790329933167,14,164,,1.1541364192962646
0.9378053545951843,,0.9429429173469543,,14,164,0.1831105649471283,
,0.9523879289627075,,0.7245509028434753,15,175,,1.3801032304763794
0.9539433121681213,,0.9429429173469543,,15,175,0.20852379500865936,
,0.9613755941390991,,0.7365269660949707,16,186,,1.1054867506027222
0.9213146567344666,,0.924924910068512,,16,186,0.2530328929424286,
,0.9329858422279358,,0.6467065811157227,17,197,,1.6790894269943237
0.9335803985595703,,0.9099099040031433,,17,197,0.2343081682920456,
,0.9429124593734741,,0.682634711265564,18,208,,1.5037691593170166
0.9629325866699219,,0.9519519805908203,,18,208,0.13788624107837677,
,0.9489286541938782,,0.6946107745170593,19,219,,1.5212286710739136
0.966389536857605,,0.9639639854431152,,19,219,0.10697788000106812,
,0.949008584022522,,0.7005987763404846,20,230,,1.646496295928955
0.9399493932723999,,0.9819819927215576,,20,230,0.07501675188541412,
,0.9475892782211304,,0.71257483959198,21,241,,1.8409993648529053
0.9688231348991394,,0.9849849939346313,,21,241,0.05375807732343674,
,0.9472387433052063,,0.7305389046669006,22,252,,1.7187976837158203
0.9528816938400269,,0.9609609842300415,,22,252,0.1225229799747467,
,0.9413899183273315,,0.7365269660949707,23,263,,1.975621223449707
0.9419562220573425,,0.9729729890823364,,23,263,0.0694480687379837,
,0.9463456273078918,,0.71257483959198,24,274,,1.745836853981018
0.9687373638153076,,0.9759759902954102,,24,274,0.09108082950115204,
,0.9479011297225952,,0.71856290102005,25,285,,1.6808680295944214
0.9399025440216064,,0.9849849939346313,,25,285,0.04620501771569252,
,0.9468676447868347,,0.7544910311698914,26,296,,1.731676697731018
0.9726629257202148,,0.9909909963607788,,26,296,0.03954809159040451,
,0.9592409133911133,,0.7305389046669006,27,307,,1.5429625511169434
0.9672672748565674,,0.9879879951477051,,27,307,0.03265325725078583,
,0.941882312297821,,0.7365269660949707,28,318,,1.9697022438049316
0.9592993855476379,,0.9879879951477051,,28,318,0.029106464236974716,
,0.9500802755355835,,0.7365269660949707,29,329,,1.8825464248657227
0.9533118605613708,,0.9879879951477051,,29,329,0.057581257075071335,
,0.950007975101471,,0.7485029697418213,30,340,,1.687921166419983
0.9208362102508545,,0.9909909963607788,,30,340,0.04124259203672409,
,0.9477002024650574,,0.71856290102005,31,351,,1.8812817335128784
0.9633634090423584,,0.9969969987869263,,31,351,0.010994013398885727,
,0.9477002024650574,,0.71856290102005,32,352,,1.881242036819458
