AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.6858512759208679,,0.08982036262750626,0,10,,2.2909085750579834
0.542968213558197,,0.12012012302875519,,0,10,2.320695400238037,
,0.7362974882125854,,0.13173653185367584,1,21,,2.2227139472961426
0.588030219078064,,0.12612612545490265,,1,21,2.2654929161071777,
,0.7607764005661011,,0.257485032081604,2,32,,2.047473192214966
0.6945279240608215,,0.21021020412445068,,2,32,2.1187078952789307,
,0.7570974230766296,,0.23952095210552216,3,43,,2.037196636199951
0.7213157415390015,,0.2222222238779068,,3,43,2.098864793777466,
,0.8376814723014832,,0.34730538725852966,4,54,,1.747740387916565
0.7159765958786011,,0.2522522509098053,,4,54,1.9408940076828003,
,0.8323875665664673,,0.371257483959198,5,65,,1.783226490020752
0.7615242600440979,,0.2702702581882477,,5,65,1.7898156642913818,
,0.8495985865592957,,0.401197612285614,6,76,,1.601952075958252
0.7912947535514832,,0.36636635661125183,,6,76,1.6899093389511108,
,0.8636502027511597,,0.42514970898628235,7,87,,1.64703369140625
0.8356978297233582,,0.3843843936920166,,7,87,1.5959844589233398,
,0.8388789892196655,,0.443113774061203,8,98,,1.6106717586517334
0.8301735520362854,,0.38138139247894287,,8,98,1.5800323486328125,
,0.8848766684532166,,0.514970064163208,9,109,,1.3843541145324707
0.8338440656661987,,0.42042040824890137,,9,109,1.5505262613296509,
,0.9054431915283203,,0.514970064163208,10,120,,1.2962902784347534
0.8611642718315125,,0.45045045018196106,,10,120,1.435753345489502,
,0.9059267044067383,,0.5089820623397827,11,131,,1.2767924070358276
0.8551371693611145,,0.44144144654273987,,11,131,1.4185776710510254,
,0.8826846480369568,,0.485029935836792,12,142,,1.457418441772461
0.8294364213943481,,0.5015015006065369,,12,142,1.3361927270889282,
,0.917336106300354,,0.5508981943130493,13,153,,1.2256526947021484
0.8593772053718567,,0.5075075030326843,,13,153,1.2935291528701782,
,0.8976981043815613,,0.4491018056869507,14,164,,1.3954683542251587
0.8629266619682312,,0.5285285115242004,,14,164,1.3465369939804077,
,0.9181615114212036,,0.5568862557411194,15,175,,1.2119197845458984
0.8934488296508789,,0.4564564526081085,,15,175,1.3378889560699463,
,0.9217514395713806,,0.57485032081604,16,186,,1.1524382829666138
0.8994602560997009,,0.5465465188026428,,16,186,1.1771959066390991,
,0.894010603427887,,0.4910179674625397,17,197,,1.502620816230774
0.8760597109794617,,0.5255255103111267,,17,197,1.1672550439834595,
,0.9052151441574097,,0.544910192489624,18,208,,1.2845450639724731
0.8613752126693726,,0.4744744598865509,,18,208,1.3206532001495361,
,0.9064429998397827,,0.544910192489624,19,219,,1.3250739574432373
0.8646739721298218,,0.5285285115242004,,19,219,1.2256888151168823,
,0.9253402352333069,,0.56886225938797,20,230,,1.1715621948242188
0.9092605113983154,,0.5915915966033936,,20,230,1.0502451658248901,
,0.9167953729629517,,0.57485032081604,21,241,,1.1800047159194946
0.8792593479156494,,0.6156156063079834,,21,241,1.0387277603149414,
,0.8877261877059937,,0.473053902387619,22,252,,1.495518445968628
0.8856579661369324,,0.6006006002426147,,22,252,1.0146901607513428,
,0.881568968296051,,0.455089807510376,23,263,,1.5731111764907837
0.8839225769042969,,0.5435435175895691,,23,263,1.1007548570632935,
,0.894896388053894,,0.4790419042110443,24,274,,1.362512230873108
0.8722832202911377,,0.4744744598865509,,24,274,1.4256455898284912,
,0.9094265699386597,,0.5628742575645447,25,285,,1.2879090309143066
0.8551649451255798,,0.49849849939346313,,25,285,1.3131433725357056,
,0.9297422170639038,,0.6227545142173767,26,296,,1.1775096654891968
0.9131520986557007,,0.5675675868988037,,26,296,1.0375899076461792,
,0.9224454164505005,,0.56886225938797,27,307,,1.2391879558563232
0.9452723860740662,,0.6096096038818359,,27,307,0.9469176530838013,
,0.925607442855835,,0.628742516040802,28,318,,1.1670457124710083
0.9131461381912231,,0.6006006002426147,,28,318,0.9937406778335571,
,0.9338735342025757,,0.5868263244628906,29,329,,1.134220838546753
0.9182853102684021,,0.6156156063079834,,29,329,0.9766085147857666,
,0.9262751340866089,,0.6227545142173767,30,340,,1.171360731124878
0.9019094705581665,,0.6456456184387207,,30,340,0.8964547514915466,
,0.9241514205932617,,0.5808383226394653,31,351,,1.297572374343872
0.9195746183395386,,0.6336336135864258,,31,351,0.8601200580596924,
