AUROC_train,AUROC_val,Accuracy_train,Accuracy_val,epoch,step,train_loss,val_loss
,0.6491300463676453,,0.09580838680267334,0,10,,8.470107078552246
0.5501210689544678,,0.08408408612012863,,0,10,22.27777862548828,
,0.7024122476577759,,0.19760479032993317,1,21,,2.072383403778076
0.6052470803260803,,0.18618617951869965,,1,21,5.730412483215332,
,0.5525487661361694,,0.09580838680267334,2,32,,2.2231931686401367
0.5438665151596069,,0.15315315127372742,,2,32,2.707728147506714,
,0.5404887199401855,,0.09580838680267334,3,43,,2.231365442276001
0.553315281867981,,0.13513512909412384,,3,43,2.384165048599243,
,0.5471020936965942,,0.09580838680267334,4,54,,2.2243285179138184
0.5977604389190674,,0.15915915369987488,,4,54,2.28877592086792,
,0.5795379281044006,,0.09580838680267334,5,65,,2.198455333709717
0.5865053534507751,,0.1501501500606537,,5,65,2.1951441764831543,
,0.5740411281585693,,0.10179640352725983,6,76,,2.2114005088806152
0.5813624262809753,,0.14714714884757996,,6,76,2.2900736331939697,
,0.5532843470573425,,0.16167664527893066,7,87,,2.2275354862213135
0.57783043384552,,0.12312312424182892,,7,87,2.2490615844726562,
,0.572334885597229,,0.19161677360534668,8,98,,2.210491180419922
0.5583162903785706,,0.20420420169830322,,8,98,2.2516591548919678,
,0.5961281657218933,,0.20958083868026733,9,109,,2.2161624431610107
0.5905579924583435,,0.2222222238779068,,9,109,2.159581184387207,
,0.6167036890983582,,0.185628741979599,10,120,,2.2016773223876953
0.5982455015182495,,0.21021020412445068,,10,120,2.189688205718994,
,0.6761096715927124,,0.23353293538093567,11,131,,2.0778889656066895
0.6536306142807007,,0.2432432472705841,,11,131,2.1005501747131348,
,0.6477323174476624,,0.19760479032993317,12,142,,2.1440396308898926
0.6306931376457214,,0.24024024605751038,,12,142,2.2214527130126953,
,0.7408294677734375,,0.31137725710868835,13,153,,1.982988715171814
0.6753414273262024,,0.24624624848365784,,13,153,2.088183879852295,
,0.798270583152771,,0.413173645734787,14,164,,1.79110586643219
0.7389640808105469,,0.34834834933280945,,14,164,1.8853009939193726,
,0.8304168581962585,,0.5029940009117126,15,175,,1.742328405380249
0.7595138549804688,,0.42042040824890137,,15,175,1.852896809577942,
,0.8862029910087585,,0.544910192489624,16,186,,1.410345435142517
0.8119930028915405,,0.4744744598865509,,16,186,1.5195873975753784,
,0.8746925592422485,,0.5568862557411194,17,197,,1.4624826908111572
0.8489648103713989,,0.5345345139503479,,17,197,1.4386347532272339,
,0.8622824549674988,,0.485029935836792,18,208,,1.5557011365890503
0.8071501851081848,,0.5015015006065369,,18,208,1.42008638381958,
,0.928070068359375,,0.6646706461906433,19,219,,1.1216928958892822
0.8561501502990723,,0.5435435175895691,,19,219,1.3578853607177734,
,0.9257403016090393,,0.652694582939148,20,230,,1.1234333515167236
0.9066990613937378,,0.6516516804695129,,20,230,1.1105517148971558,
,0.926091194152832,,0.6167664527893066,21,241,,1.1642917394638062
0.8942855596542358,,0.6546546816825867,,21,241,1.0423903465270996,
,0.9386732578277588,,0.6407185792922974,22,252,,1.1375423669815063
0.8925794363021851,,0.6096096038818359,,22,252,1.1767711639404297,
,0.9410068988800049,,0.5928143858909607,23,263,,1.1441709995269775
0.922148585319519,,0.6816816926002502,,23,263,0.876027524471283,
,0.9516465663909912,,0.7365269660949707,24,274,,0.9013673663139343
0.9443719387054443,,0.7477477192878723,,24,274,0.7461218237876892,
,0.9576917886734009,,0.688622772693634,25,285,,0.9978416562080383
0.9120994806289673,,0.7267267107963562,,25,285,0.8106452822685242,
,0.9619702696800232,,0.6946107745170593,26,296,,0.8788721561431885
0.9472612142562866,,0.7747747898101807,,26,296,0.6035766005516052,
,0.970939576625824,,0.7604790329933167,27,307,,0.7750000357627869
0.9302013516426086,,0.8138138055801392,,27,307,0.5384944677352905,
,0.943297266960144,,0.71856290102005,28,318,,1.0920392274856567
0.9256245493888855,,0.7747747898101807,,28,318,0.6570820808410645,
,0.9666772484779358,,0.7485029697418213,29,329,,0.8636494874954224
0.9545204043388367,,0.804804801940918,,29,329,0.6385249495506287,
,0.9662920832633972,,0.7664670944213867,30,340,,0.7977674007415771
0.9607809782028198,,0.8768768906593323,,30,340,0.37730416655540466,
,0.9640704989433289,,0.7664670944213867,31,351,,0.8365203738212585
0.9426769614219666,,0.8408408164978027,,31,351,0.48805081844329834,
,0.953353226184845,,0.7305389046669006,32,362,,1.0165187120437622
0.97481769323349,,0.879879891872406,,32,362,0.3972192704677582,
,0.9669666290283203,,0.7305389046669006,33,373,,0.815841794013977
0.9529741406440735,,0.8168168067932129,,33,373,0.5366451740264893,
,0.9667204022407532,,0.7664670944213867,34,384,,0.7803311944007874
0.943682074546814,,0.8318318128585815,,34,384,0.4502388834953308,
,0.970854640007019,,0.772455096244812,35,395,,0.7631289958953857
0.975936770439148,,0.8498498201370239,,35,395,0.4188123345375061,
,0.966385006904602,,0.8083832263946533,36,406,,0.8141593933105469
0.9713588356971741,,0.8528528809547424,,36,406,0.40555062890052795,
,0.9612858295440674,,0.7664670944213867,37,417,,0.9266694784164429
0.9787845015525818,,0.8738738894462585,,37,417,0.37503328919410706,
,0.970171332359314,,0.7844311594963074,38,428,,0.8176516890525818
0.9537636637687683,,0.8528528809547424,,38,428,0.38649412989616394,
,0.9643436670303345,,0.7604790329933167,39,439,,0.9394581317901611
0.9608570337295532,,0.8918918967247009,,39,439,0.318752259016037,
,0.9686259031295776,,0.7784430980682373,40,450,,0.9160968661308289
0.9439128041267395,,0.8948948979377747,,40,450,0.3187943398952484,
,0.9650114178657532,,0.71257483959198,41,461,,0.9989185333251953
0.9538437724113464,,0.8858858942985535,,41,461,0.3523954153060913,
,0.9663171768188477,,0.772455096244812,42,472,,0.9268127083778381
0.9573657512664795,,0.8588588833808899,,42,472,0.4394961893558502,
,0.9669395685195923,,0.7245509028434753,43,483,,0.9218650460243225
0.9517903923988342,,0.8828828930854797,,43,483,0.3691220283508301,
,0.967197060585022,,0.7544910311698914,44,494,,0.965895414352417
0.9528142213821411,,0.879879891872406,,44,494,0.35565805435180664,
,0.9695472717285156,,0.7485029697418213,45,505,,0.857948362827301
0.9494156241416931,,0.8738738894462585,,45,505,0.31473153829574585,
,0.963310182094574,,0.7784430980682373,46,516,,0.9504917860031128
0.9364215135574341,,0.8348348140716553,,46,516,0.45407605171203613,
,0.9611813426017761,,0.7664670944213867,47,527,,0.9358773827552795
0.9345902800559998,,0.8678678870201111,,47,527,0.37247127294540405,
,0.9686918258666992,,0.7604790329933167,48,538,,0.799610435962677
0.9250437617301941,,0.8858858942985535,,48,538,0.35115814208984375,
,0.9657179713249207,,0.7485029697418213,49,549,,0.9786732196807861
0.9652520418167114,,0.8858858942985535,,49,549,0.3419896364212036,
,0.9670450091362,,0.802395224571228,50,560,,0.8729310035705566
0.9809228181838989,,0.9069069027900696,,50,560,0.24521829187870026,
,0.9670450091362,,0.802395224571228,51,561,,0.8729310035705566
